"Fecha","Code","D","I","L","R","S","Total_I","Estado"
2020-01-23,"AGU",0,0,0,0,NA,0,"AGUASCALIENTES"
2020-01-24,"AGU",0,0,0,0,NA,0,"AGUASCALIENTES"
2020-01-25,"AGU",0,0,0,0,NA,0,"AGUASCALIENTES"
2020-01-26,"AGU",0,0,0,0,NA,0,"AGUASCALIENTES"
2020-01-27,"AGU",0,0,0,0,NA,0,"AGUASCALIENTES"
2020-01-28,"AGU",0,0,0,0,NA,0,"AGUASCALIENTES"
2020-01-29,"AGU",0,0,0,0,NA,0,"AGUASCALIENTES"
2020-01-30,"AGU",0,0,0,0,NA,0,"AGUASCALIENTES"
2020-01-31,"AGU",0,0,0,0,NA,0,"AGUASCALIENTES"
2020-02-01,"AGU",0,0,0,0,NA,0,"AGUASCALIENTES"
2020-02-02,"AGU",0,0,0,0,NA,0,"AGUASCALIENTES"
2020-02-03,"AGU",0,0,0,0,NA,0,"AGUASCALIENTES"
2020-02-04,"AGU",0,0,0,0,NA,0,"AGUASCALIENTES"
2020-02-05,"AGU",0,0,0,0,NA,0,"AGUASCALIENTES"
2020-02-06,"AGU",0,0,0,0,NA,0,"AGUASCALIENTES"
2020-02-07,"AGU",0,0,0,0,NA,0,"AGUASCALIENTES"
2020-02-08,"AGU",0,0,0,0,NA,0,"AGUASCALIENTES"
2020-02-09,"AGU",0,0,0,0,NA,0,"AGUASCALIENTES"
2020-02-10,"AGU",0,0,0,0,NA,0,"AGUASCALIENTES"
2020-02-11,"AGU",0,0,0,0,NA,0,"AGUASCALIENTES"
2020-02-12,"AGU",0,0,0,0,NA,0,"AGUASCALIENTES"
2020-02-13,"AGU",0,0,0,0,NA,0,"AGUASCALIENTES"
2020-02-14,"AGU",0,0,0,0,NA,0,"AGUASCALIENTES"
2020-02-15,"AGU",0,0,0,0,NA,0,"AGUASCALIENTES"
2020-02-16,"AGU",0,0,0,0,NA,0,"AGUASCALIENTES"
2020-02-17,"AGU",0,0,0,0,NA,0,"AGUASCALIENTES"
2020-02-18,"AGU",0,0,0,0,NA,0,"AGUASCALIENTES"
2020-02-19,"AGU",0,0,0,0,NA,0,"AGUASCALIENTES"
2020-02-20,"AGU",0,0,0,0,NA,0,"AGUASCALIENTES"
2020-02-21,"AGU",0,0,0,0,NA,0,"AGUASCALIENTES"
2020-02-22,"AGU",0,0,0,0,NA,0,"AGUASCALIENTES"
2020-02-23,"AGU",0,0,0,0,NA,0,"AGUASCALIENTES"
2020-02-24,"AGU",0,0,0,0,NA,0,"AGUASCALIENTES"
2020-02-25,"AGU",0,0,0,0,NA,0,"AGUASCALIENTES"
2020-02-26,"AGU",0,0,0,0,NA,0,"AGUASCALIENTES"
2020-02-27,"AGU",0,0,0,0,NA,0,"AGUASCALIENTES"
2020-02-28,"AGU",0,0,0,0,NA,0,"AGUASCALIENTES"
2020-02-29,"AGU",0,0,0,0,NA,0,"AGUASCALIENTES"
2020-03-01,"AGU",0,0,0,0,NA,0,"AGUASCALIENTES"
2020-03-02,"AGU",0,0,0,0,NA,0,"AGUASCALIENTES"
2020-03-03,"AGU",0,0,0,0,NA,0,"AGUASCALIENTES"
2020-03-04,"AGU",0,0,0,0,NA,0,"AGUASCALIENTES"
2020-03-05,"AGU",0,0,0,0,NA,0,"AGUASCALIENTES"
2020-03-06,"AGU",0,0,0,0,NA,0,"AGUASCALIENTES"
2020-03-07,"AGU",0,0,0,0,NA,0,"AGUASCALIENTES"
2020-03-08,"AGU",0,0,0,0,NA,0,"AGUASCALIENTES"
2020-03-09,"AGU",0,0,0,0,NA,0,"AGUASCALIENTES"
2020-03-10,"AGU",0,0,0,0,NA,0,"AGUASCALIENTES"
2020-03-11,"AGU",0,0,0,0,NA,0,"AGUASCALIENTES"
2020-03-12,"AGU",0,0,0,0,NA,0,"AGUASCALIENTES"
2020-03-13,"AGU",0,0,0,0,NA,0,"AGUASCALIENTES"
2020-03-14,"AGU",0,0,0,0,1,0,"AGUASCALIENTES"
2020-03-15,"AGU",0,1,0,0,2,1,"AGUASCALIENTES"
2020-03-16,"AGU",0,1,0,0,3,1,"AGUASCALIENTES"
2020-03-17,"AGU",0,1,0,0,8,1,"AGUASCALIENTES"
2020-03-18,"AGU",0,1,0,0,10,1,"AGUASCALIENTES"
2020-03-19,"AGU",0,4,0,0,9,4,"AGUASCALIENTES"
2020-03-20,"AGU",0,4,0,0,17,4,"AGUASCALIENTES"
2020-03-21,"AGU",0,4,0,0,24,4,"AGUASCALIENTES"
2020-03-22,"AGU",0,4,0,0,34,4,"AGUASCALIENTES"
2020-03-23,"AGU",0,6,0,NA,13,6,"AGUASCALIENTES"
2020-03-24,"AGU",0,6,0,NA,37,6,"AGUASCALIENTES"
2020-03-25,"AGU",0,8,4,NA,52,12,"AGUASCALIENTES"
2020-03-26,"AGU",0,8,5,NA,59,13,"AGUASCALIENTES"
2020-03-27,"AGU",0,8,11,NA,65,19,"AGUASCALIENTES"
2020-03-28,"AGU",0,8,11,NA,106,19,"AGUASCALIENTES"
2020-03-29,"AGU",0,11,13,NA,85,24,"AGUASCALIENTES"
2020-03-30,"AGU",0,11,13,NA,74,24,"AGUASCALIENTES"
2020-03-31,"AGU",0,14,22,NA,81,36,"AGUASCALIENTES"
2020-01-23,"BCN",0,0,0,0,NA,0,"BAJA CALIFORNIA"
2020-01-24,"BCN",0,0,0,0,NA,0,"BAJA CALIFORNIA"
2020-01-25,"BCN",0,0,0,0,NA,0,"BAJA CALIFORNIA"
2020-01-26,"BCN",0,0,0,0,NA,0,"BAJA CALIFORNIA"
2020-01-27,"BCN",0,0,0,0,NA,0,"BAJA CALIFORNIA"
2020-01-28,"BCN",0,0,0,0,NA,0,"BAJA CALIFORNIA"
2020-01-29,"BCN",0,0,0,0,NA,0,"BAJA CALIFORNIA"
2020-01-30,"BCN",0,0,0,0,NA,0,"BAJA CALIFORNIA"
2020-01-31,"BCN",0,0,0,0,NA,0,"BAJA CALIFORNIA"
2020-02-01,"BCN",0,0,0,0,NA,0,"BAJA CALIFORNIA"
2020-02-02,"BCN",0,0,0,0,NA,0,"BAJA CALIFORNIA"
2020-02-03,"BCN",0,0,0,0,NA,0,"BAJA CALIFORNIA"
2020-02-04,"BCN",0,0,0,0,NA,0,"BAJA CALIFORNIA"
2020-02-05,"BCN",0,0,0,0,NA,0,"BAJA CALIFORNIA"
2020-02-06,"BCN",0,0,0,0,NA,0,"BAJA CALIFORNIA"
2020-02-07,"BCN",0,0,0,0,NA,0,"BAJA CALIFORNIA"
2020-02-08,"BCN",0,0,0,0,NA,0,"BAJA CALIFORNIA"
2020-02-09,"BCN",0,0,0,0,NA,0,"BAJA CALIFORNIA"
2020-02-10,"BCN",0,0,0,0,NA,0,"BAJA CALIFORNIA"
2020-02-11,"BCN",0,0,0,0,NA,0,"BAJA CALIFORNIA"
2020-02-12,"BCN",0,0,0,0,NA,0,"BAJA CALIFORNIA"
2020-02-13,"BCN",0,0,0,0,NA,0,"BAJA CALIFORNIA"
